Quantity view,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,EthanolFermPlant,SodiumChloride,NitrogenFertiliser,AmmoniumNitrate,AmmoniumSulfate,Urea,Water,NeutralisingAgent,SodiumHydroxide,1-Butanol,SteamGrid,WasteTreatment,CHPPlant,ElectricityGrid,Sugar,Ammonia,Urea,Wastewater,ElectricityBiomass,SteamBiomass,Combustor,WasteTreatment2,Transport
,,,,ReCiPe 2016 v1.1 Midpoint (H) - Fine Particulate Matter Formation [kg PM2.5 eq.],1.86E+04,0.000755,0.0112,8.71E-03,4.01E-03,7.27E-03,1.47E-08,3.55E-03,3.80E-03,5.08E-03,1.42E-04,6.04E-05,1.44E-05,3.50E-04,2.81E-03,0.00338,0.00727,0.0363,0.000365229,1.72E-05,3.23E-05,7.27E-05,0.000197
,,,,ReCiPe 2016 v1.1 Midpoint (H) - Fossil depletion [kg oil eq.],1.32E+06,0.0792,1.42,1.28E+00,5.22E-01,1.32E+00,1.88E-06,3.56E-01,3.85E-01,1.77E+00,2.87E-02,5.67E-03,5.61E-05,4.77E-02,7.22E-02,0.876,1.32,2.85,1.42E-02,6.69E-04,0.001325517,0.00703,0.0473
,,,,ReCiPe 2016 v1.1 Midpoint (H) - Freshwater Consumption [m3],6.83E+04,0.00433,0.0977,7.84E-02,6.73E-03,1.86E-01,0.000982,0.038552647,4.06E-02,0.112,0.00015689,0.000569949,2.47E-06,0.025316593,0.14,0.0577,0.186,-0.787,0.000187581,8.84E-06,3.59E-05,0.00115,0.000396
,,,,"ReCiPe 2016 v1.1 Midpoint (H) - Freshwater ecotoxicity [kg 1,4 DB eq.]",1.51E+05,0.0047,0.0481,2.42E-02,1.94E-02,1.72E-02,1.38E-07,1.32E-02,1.43E-02,1.60E-02,2.18E-04,2.82E-03,1.94E-05,3.88E-03,5.27E-03,0.00644,0.0172,0.262,6.29E-04,2.97E-05,0.000181416,0.162,7.97E-04
,,,,ReCiPe 2016 v1.1 Midpoint (H) - Freshwater Eutrophication [kg P eq.],5.03E+03,0.000202,0.00169,8.38E-04,7.99E-04,6.22E-04,2.72E-09,7.01E-04,7.56E-04,8.02E-04,1.56E-05,4.88E-05,2.58E-07,5.57E-05,1.06E-04,0.000194136,0.000621949,0.095522266,9.78E-06,4.61E-07,2.64E-06,3.89E-05,1.08E-05
,,,,"ReCiPe 2016 v1.1 Midpoint (H) - Human toxicity, cancer [kg 1,4-DB eq.]",8.82E+05,0.0217,0.202,1.04E-01,8.50E-02,7.13E-02,1.07E-06,5.97E-02,6.35E-02,8.08E-02,1.45E-03,9.18E-03,5.96E-05,4.87E-03,5.67E-02,0.024657288,0.071303848,0.564011371,2.88E-03,1.36E-04,0.000364949,0.03159041,0.002819759
,,,,"ReCiPe 2016 v1.1 Midpoint (H) - Human toxicity, non-cancer [kg 1,4-DB eq.]",3.85E+07,0.962,10.8,5.47E+00,4.53E+00,3.33E+00,1.34E-05,1.81E+00,1.88E+00,2.12E+00,3.12E-02,3.07E-01,1.63E-02,1.30E-01,1.46E+00,1.14312641,3.332408841,13.80808949,3.65E-01,1.72E-02,0.018546873,4.777737088,0.103534656
,,,,ReCiPe 2016 v1.1 Midpoint (H) - Ionizing Radiation [Bq C-60 eq. to air],1.57E+05,0.0265,0.139,8.41E-02,5.11E-02,7.98E-02,2.40E-07,1.31E-01,1.47E-01,1.51E-01,1.16E-03,4.68E-04,5.63E-06,2.14E-02,8.48E-03,0.026845548,0.079830342,1.038517203,0.000944165,4.45E-05,0.000508165,0.000551906,0.002931544
,,,,ReCiPe 2016 v1.1 Midpoint (H) - Land use [Annual crop eq.·y],8.33E+05,0.0135,0.156,5.75E-02,7.14E-02,3.76E-02,2.62E-07,3.74E-02,3.59E-02,6.21E-02,5.32E-04,7.74E-04,4.51E-06,5.51E-02,1.86E+00,0.01273128,0.037649336,0.262556915,6.79E-01,3.20E-02,0.000100926,0.00098756,0.007305364
,,,,"ReCiPe 2016 v1.1 Midpoint (H) - Marine ecotoxicity [kg 1,4-DB eq.]",2.65E+05,0.00722,0.0835,4.69E-02,2.97E-02,3.44E-02,2.03E-07,1.88E-02,2.01E-02,2.30E-02,5.25E-04,3.50E-03,6.48E-05,4.91E-03,7.80E-03,0.016339881,0.034353318,0.332153522,0.001780783,8.39E-05,0.000291318,0.19852056,3.15E-03
,,,,ReCiPe 2016 v1.1 Midpoint (H) - Marine Eutrophication [kg N eq.],317,4.37E-05,2.93E-04,3.50E-04,4.89E-05,1.64E-04,7.05E-10,7.63E-05,7.55E-05,5.89E-05,1.19E-06,1.22E-05,8.93E-09,9.26E-06,9.09E-04,4.56E-05,1.64E-04,0.196756892,1.31E-06,6.16E-08,1.79E-07,1.13E-05,1.28E-06
,,,,ReCiPe 2016 v1.1 Midpoint (H) - Metal depletion [kg Cu eq.],2.30E+05,0.00252,0.0399,1.70E-02,1.66E-02,1.01E-02,1.59E-07,3.40E-03,3.40E-03,3.92E-03,2.87E-05,1.56E-04,5.19E-06,2.09E-04,2.22E-03,0.003940412,0.010137897,0.035344095,2.61E-04,1.23E-05,1.62E-05,0.000160723,0.000260323
,,,,"ReCiPe 2016 v1.1 Midpoint (H) - Photochemical Ozone Formation, Ecosystems [kg NOx eq.]",2.19E+05,0.00715,0.0928,5.22E-02,2.94E-02,2.49E-02,2.25E-06,1.35E-02,1.15E-02,1.68E-02,1.82E-04,1.30E+00,7.22E-05,7.06E-04,9.12E-03,0.008976857,0.02488268,0.19591309,1.90E-03,8.96E-05,1.43E-04,2.801700592,0.001225151
,,,,"ReCiPe 2016 v1.1 Midpoint (H) - Photochemical Ozone Formation, Human Health [kg NOx eq.]",1.43E+05,0.00475,0.065,3.83E-02,1.95E-02,1.71E-02,1.40E-06,9.50E-03,8.33E-03,1.25E-02,1.68E-04,8.08E-01,6.77E-05,5.64E-04,6.48E-03,0.006509393,0.017135653,0.138566933,0.001740211,8.20E-05,1.30E-04,1.738446046,1.02E-03
,,,,ReCiPe 2016 v1.1 Midpoint (H) - Stratospheric Ozone Depletion [kg CFC-11 eq.],1.98,1.19E-07,2.25E-04,2.08E-04,6.47E-07,1.23E-06,2.31E-12,1.20E-06,1.36E-06,8.43E-07,2.75E-08,5.81E-07,2.18E-08,6.97E-07,3.13E-06,7.21E-07,1.23E-06,4.51E-05,4.87E-07,2.29E-08,3.35E-08,5.38E-07,5.79E-08
,,,,ReCiPe 2016 v1.1 Midpoint (H) - Terrestrial Acidification [kg SO2 eq.],4.14E+04,0.001487671,0.037,2.91E-02,1.01E-02,2.03E-02,2.57E-08,6.07E-03,6.01E-03,1.13E-02,3.83E-04,1.50E-04,4.96E-05,6.82E-04,5.70E-03,0.008730482,0.020272315,0.091013421,1.19E-03,5.60E-05,6.37E-05,0.000187884,0.00044685
,,,,"ReCiPe 2016 v1.1 Midpoint (H) - Terrestrial ecotoxicity [kg 1,4-DB eq.]",1.34E+08,2.399864842,36.6,2.36E+01,9.60E+00,1.77E+01,5.41E-05,4.10E+00,4.10E+00,4.19E+00,4.98E-01,9.65E-02,6.52E-02,3.66E-01,2.64E+00,10.97271064,17.68978293,24.99849288,1.57E+00,7.42E-02,0.113754583,0.296054535,3.067188091
,,,ReCiPe 2016 v1.1 (I),ReCiPe 2016 v1.1 (I),,0,0,0.00E+00,0.00E+00,0.00E+00,,0,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,TRACI 2.1,TRACI 2.1,TRACI 2.1,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,UBP 2013,UBP 2013,UBP 2013,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,USEtox 2.1,USEtox 2.1,USEtox 2.1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Water,Water,Water,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,SoFi quantities,SoFi quantities,SoFi quantities,SoFi quantities,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Technical quantities,Technical quantities,Technical quantities,Technical quantities,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
