,,EPS 2015dx - Excl impacts from secondary particles,EPS 2015dx - Excl impacts from secondary particles,EPS 2015dx - Excl impacts from secondary particles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Impact 2002+,Impact 2002+,Impact 2002+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Impacts ILCD/PEF recommendation v1.09,Impacts ILCD/PEF recommendation v1.09,Impacts ILCD/PEF recommendation v1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,IPCC AR5,IPCC AR5,IPCC AR5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Land use LANCA v2.3 2016,Land use LANCA v2.3 2016,Land use LANCA v2.3 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NF EN 15804 Quantities,NF EN 15804 Quantities,NF EN 15804 Quantities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Odour,Odour,Odour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Primary energy,Primary energy,Primary energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ReCiPe 2016 v1.1,ReCiPe 2016 v1.1,ReCiPe 2016 v1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ReCiPe 2016 v1.1 (E),ReCiPe 2016 v1.1 (E),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ReCiPe 2016 v1.1 (H),ReCiPe 2016 v1.1 (H),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ReCiPe 2016 v1.1 (I),ReCiPe 2016 v1.1 (I),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Climate Change Incl Land Use Change (LUC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Endpoint (I),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ReCiPe 2016 v1.1 Midpoint (I) - Marine ecotoxicity [kg 1,4-DB eq.]",51199.43216,0.001304997,0.015973083,9.72E-03,5.50E-03,7.50E-03,7.18E-08,3.50E-03,3.75E-03,4.19E-03,1.09E-04,6.45E-04,1.31E-05,2.13E-03,0.001125362,1.87E-08,0.003973538,0.00750494,0.059117559,1.65E-05,3.50E-04,1.55E-03,6.33E-05,1.02E-05,0.001902939,0.018682676,5.43E-05,0.032528888,4.14E-04
,,,,ReCiPe 2016 v1.1 Midpoint (I) - Marine Eutrophication [kg N eq.],316.7351786,4.37E-05,2.93E-04,3.50E-04,4.89E-05,1.64E-04,1.28E-09,7.63E-05,7.55E-05,5.89E-05,1.19E-06,1.22E-05,8.93E-09,4.86E-05,1.45E-05,3.74E-05,4.56E-05,1.64E-04,0.196756892,6.16E-08,1.31E-06,9.10E-06,8.44E-07,1.75E-07,2.02E-05,4.36E-03,1.79E-07,1.13E-05,1.28E-06
,,,,ReCiPe 2016 v1.1 Midpoint (I) - Metal depletion [kg Cu eq.],173839.1961,0.002045135,0.03275946,1.38E-02,1.29E-02,8.19E-03,1.87E-07,2.72E-03,2.72E-03,3.11E-03,1.99E-05,1.10E-04,3.88E-06,0.000207898,0.001482485,1.05E-04,0.00315349,0.008190052,0.025970001,8.60E-06,1.83E-04,3.52E-03,4.17E-05,3.14E-06,0.003004977,0.003530896,1.18E-05,0.00011817,0.00018204
,,,,"ReCiPe 2016 v1.1 Midpoint (I) - Photochemical Ozone Formation, Ecosystems [kg NOx eq.]",219097.5057,7.15E-03,9.28E-02,5.22E-02,2.94E-02,2.49E-02,4.10E-06,1.35E-02,1.15E-02,1.68E-02,1.82E-04,1.30E+00,7.22E-05,1.12E-03,0.000652307,2.99E-05,0.008976857,0.02488268,0.19591309,8.96E-05,1.90E-03,0.005285142,0.000173281,0.000144024,0.007313446,0.02918902,1.43E-04,2.801700592,1.23E-03
,,,,"ReCiPe 2016 v1.1 Midpoint (I) - Photochemical Ozone Formation, Human Health [kg NOx eq.]",143468.9793,0.004745211,0.065045777,3.83E-02,1.95E-02,1.71E-02,2.55E-06,9.50E-03,8.33E-03,1.25E-02,1.68E-04,8.08E-01,6.77E-05,9.47E-04,0.000565213,2.99E-05,0.006509393,0.017135653,0.138566933,8.20E-05,1.74E-03,0.003710882,0.000155291,0.000137672,0.005051581,0.019942227,1.30E-04,1.738446046,1.02E-03
,,,,ReCiPe 2016 v1.1 Midpoint (I) - Stratospheric Ozone Depletion [kg CFC-11 eq.],1.412160165,8.32E-08,1.44E-04,1.33E-04,5.19E-07,9.88E-07,3.16E-12,1.29E-06,1.48E-06,6.47E-07,2.07E-08,3.71E-07,1.43E-08,1.79E-07,3.42E-06,4.34E-08,5.60E-07,9.88E-07,2.95E-05,1.52E-08,3.22E-07,1.03E-07,1.23E-08,3.07E-09,2.83E-07,1.15E-05,2.14E-08,3.44E-07,4.31E-08
,,,,ReCiPe 2016 v1.1 Midpoint (I) - Terrestrial Acidification [kg SO2 eq.],41428.61286,0.001487671,0.037022804,2.91E-02,1.01E-02,2.03E-02,4.67E-08,6.07E-03,6.01E-03,1.13E-02,3.83E-04,1.50E-04,4.96E-05,0.002120415,0.009622464,0.00846,0.008730482,0.020272315,0.091013421,5.60E-05,1.19E-03,0.006261576,0.00020043,5.16E-05,0.048951549,0.007046813,6.37E-05,0.000187884,0.00044685
,,,,"ReCiPe 2016 v1.1 Midpoint (I) - Terrestrial ecotoxicity [kg 1,4-DB eq.]",57313167.57,0.986368551,15.47252152,1.01E+01,4.11E+00,7.61E+00,4.07E-05,1.67E+00,1.67E+00,1.75E+00,2.18E-01,3.82E-02,2.86E-02,0.134404583,0.065110026,5.08E-05,4.743716004,7.610131159,10.49887016,0.031830352,0.67533566,1.082400641,0.038431822,0.029575244,1.259861301,1.932836966,0.049761994,0.124431312,1.040016674
,,TRACI 2.1,TRACI 2.1,TRACI 2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,UBP 2013,UBP 2013,UBP 2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,USEtox 2.1,USEtox 2.1,USEtox 2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Water,Water,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,SoFi quantities,SoFi quantities,SoFi quantities,SoFi quantities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,Technical quantities,Technical quantities,Technical quantities,Technical quantities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
